anime_id,name,genre,type,episodes,rating,members
7669,"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",Comedy,OVA,1,7.06,14351
7669,"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",School,OVA,1,7.06,14351
7669,"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",Fantasy,OVA,1,7.06,14351
8481,"""Bungaku Shoujo"" Memoire",School,OVA,3,7.54,18013
8481,"""Bungaku Shoujo"" Memoire",Drama,OVA,3,7.54,18013
8481,"""Bungaku Shoujo"" Memoire",Romance,OVA,3,7.54,18013
6408,"""Bungaku Shoujo"" Movie",Romance,Movie,1,7.63,40984
6408,"""Bungaku Shoujo"" Movie",School,Movie,1,7.63,40984
6408,"""Bungaku Shoujo"" Movie",Drama,Movie,1,7.63,40984
6076,"""Eiji""",Drama,OVA,1,6.13,805
6076,"""Eiji""",Comedy,OVA,1,6.13,805
33363,"""Eiyuu"" Kaitai",Fantasy,OVA,1,7.33,578
2928,.hack//G.U. Returner,Fantasy,OVA,1,6.91,15412
2928,.hack//G.U. Returner,Sci-Fi,OVA,1,6.91,15412
2928,.hack//G.U. Returner,Adventure,OVA,1,6.91,15412
2928,.hack//G.U. Returner,Drama,OVA,1,6.91,15412
3269,.hack//G.U. Trilogy,Fantasy,Movie,1,7.32,22537
3269,.hack//G.U. Trilogy,Action,Movie,1,7.32,22537
3269,.hack//G.U. Trilogy,Sci-Fi,Movie,1,7.32,22537
4469,.hack//G.U. Trilogy: Parody Mode,Comedy,Special,1,6.67,7952
4469,.hack//G.U. Trilogy: Parody Mode,Fantasy,Special,1,6.67,7952
4469,.hack//G.U. Trilogy: Parody Mode,Sci-Fi,Special,1,6.67,7952
454,.hack//Gift,Fantasy,OVA,1,6.37,15411
454,.hack//Gift,Comedy,OVA,1,6.37,15411
1143,.hack//Intermezzo,Adventure,Special,1,6.71,16637
1143,.hack//Intermezzo,Sci-Fi,Special,1,6.71,16637
1143,.hack//Intermezzo,Fantasy,Special,1,6.71,16637
299,.hack//Liminality,Sci-Fi,OVA,4,6.74,24304
9332,.hack//Quantum,Action,OVA,3,7.36,26163
9332,.hack//Quantum,Sci-Fi,OVA,3,7.36,26163
9332,.hack//Quantum,Fantasy,OVA,3,7.36,26163
9332,.hack//Quantum,Adventure,OVA,3,7.36,26163
10390,.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!,Comedy,Special,3,6.73,5249
873,.hack//Roots,Sci-Fi,TV,26,7.06,50480
873,.hack//Roots,Drama,TV,26,7.06,50480
873,.hack//Roots,Fantasy,TV,26,7.06,50480
873,.hack//Roots,Adventure,TV,26,7.06,50480
48,.hack//Sign,Sci-Fi,TV,26,7.14,110304
48,.hack//Sign,Fantasy,TV,26,7.14,110304
48,.hack//Sign,Adventure,TV,26,7.14,110304
298,.hack//Tasogare no Udewa Densetsu,Shounen,TV,12,6.75,47679
298,.hack//Tasogare no Udewa Densetsu,Sci-Fi,TV,12,6.75,47679
298,.hack//Tasogare no Udewa Densetsu,Fantasy,TV,12,6.75,47679
298,.hack//Tasogare no Udewa Densetsu,Comedy,TV,12,6.75,47679
298,.hack//Tasogare no Udewa Densetsu,Adventure,TV,12,6.75,47679
1994,.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,Comedy,Special,1,6.33,8891
1994,.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,Sci-Fi,Special,1,6.33,8891
1994,.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,Adventure,Special,1,6.33,8891
1994,.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,Fantasy,Special,1,6.33,8891
11375,.hack//The Movie: Sekai no Mukou ni,Fantasy,Movie,1,7.32,11617
11375,.hack//The Movie: Sekai no Mukou ni,Action,Movie,1,7.32,11617
11375,.hack//The Movie: Sekai no Mukou ni,Sci-Fi,Movie,1,7.32,11617
11375,.hack//The Movie: Sekai no Mukou ni,Adventure,Movie,1,7.32,11617
1487,.hack//Unison,Sci-Fi,Special,1,6.86,16411
1487,.hack//Unison,Comedy,Special,1,6.86,16411
1487,.hack//Unison,Adventure,Special,1,6.86,16411
1487,.hack//Unison,Fantasy,Special,1,6.86,16411
15219,.hack//Versus: The Thanatos Report,Sci-Fi,Special,1,6.51,4474
15219,.hack//Versus: The Thanatos Report,Action,Special,1,6.51,4474
29978,001,Comedy,ONA,1,4.0,916
11755,009 Re:Cyborg,Action,Movie,1,6.76,8307
