Date,TOEI ANIMATION,IG Port
2015-01-01,3356.86,1201.51
2015-01-02,3356.86,1201.51
2015-01-05,3396.12,1218.44
2015-01-06,3361.77,1201.51
2015-01-07,3297.97,1202.51
2015-01-08,3415.75,1213.46
2015-01-09,3513.9,1213.46
2015-01-12,3513.9,1213.46
2015-01-13,3435.38,1218.44
2015-01-14,3592.43,1259.25
2015-01-15,3715.12,1233.37
2015-01-16,3872.16,1209.48
2015-01-19,3877.07,1196.54
2015-01-20,3832.9,1198.53
2015-01-21,3832.9,1201.51
2015-01-22,3818.18,1190.56
2015-01-23,3739.66,1233.37
2015-01-26,3774.01,1221.42
2015-01-27,3818.18,1220.43
2015-01-28,3832.9,1213.46
2015-01-29,3916.33,1198.53
2015-01-30,3965.41,1228.39
2015-02-02,3484.46,1214.45
2015-02-03,3607.15,1289.11
2015-02-04,3582.61,1311.01
2015-02-05,3592.43,1323.95
2015-02-06,3597.33,1256.26
2015-02-09,3646.41,1268.21
2015-02-10,3646.41,1270.2
2015-02-11,3646.41,1270.2
2015-02-12,3631.69,1289.11
2015-02-13,3484.46,1308.03
2015-02-16,3459.92,1301.06
2015-02-17,3513.9,1264.23
2015-02-18,3597.33,1284.14
2015-02-19,3631.69,1269.2
2015-02-20,3690.58,1287.12
2015-02-23,3680.77,1291.1
2015-02-24,3646.41,1343.86
2015-02-25,3661.13,1369.74
2015-02-26,3715.12,1349.84
2015-02-27,3729.84,1328.93
2015-03-02,3680.77,1353.82
2015-03-03,3661.13,1334.9
2015-03-04,3661.13,1311.01
2015-03-05,3616.97,1321.96
2015-03-06,3616.97,1333.91
2015-03-09,3631.69,1348.84
2015-03-10,3616.97,1347.84
2015-03-11,3641.5,1413.54
2015-03-12,3680.77,1408.57
2015-03-13,3680.77,1398.61
2015-03-16,3680.77,1412.55
2015-03-17,3661.13,1393.64
2015-03-18,3636.6,1379.7
2015-03-19,3607.15,1385.67
2015-03-20,3538.44,1403.59
2015-03-23,3553.17,1422.5
2015-03-24,3670.95,1411.55
2015-03-25,3685.67,1391.64
2015-03-26,3641.5,1364.77
2015-03-27,3557.39,1306.04
2015-03-30,3532.65,1353.82
2015-03-31,3512.86,1338.89
2015-04-01,3512.86,1339.88
2015-04-02,3522.76,1333.91
2015-04-03,3522.76,1356.8
2015-04-06,3488.12,1381.69
2015-04-07,3502.97,1383.68
