Date,Open,High,Low,Close
2016-01-04,18818.58,18951.12,18394.43,18450.98
2016-01-05,18398.76,18547.38,18327.52,18374.0
2016-01-06,18410.57,18469.38,18064.3,18191.32
2016-01-07,18139.77,18172.04,17767.34,17767.34
2016-01-08,17562.23,17975.31,17509.64,17697.96
2016-01-12,17470.93,17546.57,17184.78,17218.96
2016-01-13,17449.12,17717.75,17414.55,17715.63
2016-01-14,17384.93,17393.83,16944.41,17240.95
2016-01-15,17522.46,17597.87,17057.6,17147.11
2016-01-18,16826.93,17037.26,16665.05,16955.57
2016-01-19,16902.29,17088.31,16812.65,17048.37
2016-01-20,17030.28,17031.32,16387.61,16416.19
2016-01-21,16466.86,16734.58,16017.26,16017.26
2016-01-22,16336.72,16993.96,16332.45,16958.53
2016-01-25,17145.81,17208.24,16922.21,17110.91
2016-01-26,16833.13,16839.52,16652.26,16708.9
2016-01-27,16949.19,17242.27,16947.95,17163.92
2016-01-28,17059.84,17235.44,16942.13,17041.45
2016-01-29,17155.06,17638.93,16767.09,17518.3
2016-02-01,17699.6,17905.37,17666.48,17865.23
2016-02-02,17716.52,17864.7,17684.66,17750.68
2016-02-03,17497.41,17515.68,17080.57,17191.25
2016-02-04,17071.11,17209.56,16941.88,17044.99
2016-02-05,16790.53,16893.12,16627.8,16819.59
2016-02-08,16620.91,17099.01,16552.3,17004.3
2016-02-09,16666.79,16668.7,16025.94,16085.44
2016-02-10,16127.86,16163.03,15429.99,15713.39
2016-02-12,15426.27,15437.22,14865.77,14952.61
2016-02-15,15248.38,16155.1,15243.88,16022.58
2016-02-16,15849.47,16341.56,15809.58,16054.43
2016-02-17,16035.35,16214.46,15632.12,15836.36
2016-02-18,16138.08,16337.59,16118.8,16196.8
2016-02-19,16050.4,16050.46,15799.35,15967.17
2016-02-22,15851.39,16187.4,15816.83,16111.05
2016-02-23,16230.38,16350.38,16001.19,16052.05
2016-02-24,15851.13,16006.45,15753.77,15915.79
2016-02-25,15983.47,16218.29,15953.93,16140.34
2016-02-26,16311.52,16472.5,16188.41,16188.41
2016-02-29,16313.31,16464.75,16026.76,16026.76
2016-03-01,16013.0,16099.42,15857.37,16085.51
2016-03-02,16391.48,16815.25,16388.92,16746.55
2016-03-03,16695.78,16962.95,16691.94,16960.16
2016-03-04,16927.36,17042.92,16861.38,17014.78
2016-03-07,17024.64,17026.25,16894.58,16911.32
2016-03-08,16889.48,16909.79,16570.22,16783.15
2016-03-09,16625.59,16706.25,16494.8,16642.2
2016-03-10,16811.0,16887.6,16713.13,16852.35
2016-03-11,16610.18,17015.3,16575.75,16938.87
2016-03-14,17155.52,17291.35,17149.21,17233.75
2016-03-15,17219.89,17279.3,17042.56,17117.07
2016-03-16,16981.36,17102.45,16950.84,16974.45
2016-03-17,17107.6,17253.03,16814.84,16936.38
2016-03-18,16883.75,16920.91,16613.69,16724.81
2016-03-22,16937.31,17107.8,16851.21,17048.55
2016-03-23,17066.27,17142.08,16964.31,17000.98
2016-03-24,16979.39,17041.16,16843.99,16892.33
2016-03-25,16949.53,17026.14,16889.4,17002.75
2016-03-28,17129.27,17167.88,16961.41,17134.37
2016-03-29,16985.28,17137.2,16948.43,17103.53
2016-03-30,17078.03,17078.03,16875.91,16878.96
2016-03-31,16997.14,17033.65,16758.67,16758.67
2016-04-01,16719.56,16719.56,16113.01,16164.16
2016-04-04,16087.76,16238.51,16029.5,16123.27
2016-04-05,16044.23,16066.18,15698.55,15732.82
2016-04-06,15727.7,15828.61,15612.91,15715.36
2016-04-07,15739.26,15871.1,15636.21,15749.84
2016-04-08,15597.04,16027.63,15471.8,15821.52
2016-04-11,15761.57,15778.74,15525.49,15751.13
2016-04-12,15719.24,15963.03,15693.61,15928.79
2016-04-13,16142.71,16405.59,16132.23,16381.22
2016-04-14,16629.83,16911.05,16602.17,16911.05
2016-04-15,16720.39,16928.67,16720.39,16848.03
2016-04-18,16521.25,16526.9,16254.2,16275.95
2016-04-19,16582.66,16900.33,16570.5,16874.44
2016-04-20,17053.83,17099.36,16870.73,16906.54
2016-04-21,17187.27,17381.7,17144.53,17363.62
2016-04-22,17220.47,17572.49,17192.39,17572.49
2016-04-25,17613.56,17613.56,17403.87,17439.3
2016-04-26,17358.56,17426.02,17200.5,17353.28
2016-04-27,17369.68,17417.54,17230.23,17290.49
2016-04-28,17438.99,17572.27,16652.74,16666.05
2016-05-02,16357.1,16357.1,15975.47,16147.38
2016-05-06,16212.67,16271.61,15989.35,16106.72
2016-05-09,16226.57,16292.86,16159.31,16216.03
2016-05-10,16307.5,16587.63,16229.15,16565.19
2016-05-11,16736.72,16814.64,16536.61,16579.01
2016-05-12,16459.69,16658.07,16374.59,16646.34
2016-05-13,16804.17,16804.17,16400.87,16412.21
2016-05-16,16391.92,16632.62,16391.92,16466.4
2016-05-17,16618.95,16655.89,16509.31,16652.8
2016-05-18,16611.4,16795.47,16513.17,16644.69
2016-05-19,16807.46,16841.04,16590.16,16646.66
2016-05-20,16594.99,16770.87,16548.34,16736.35
2016-05-23,16671.28,16691.5,16417.84,16654.6
2016-05-24,16605.04,16605.04,16471.37,16498.76
2016-05-25,16764.35,16806.03,16731.12,16757.35
2016-05-26,16927.69,16957.56,16743.17,16772.46
2016-05-27,16830.5,16901.09,16792.73,16834.84
2016-05-30,16973.72,17068.02,16910.19,17068.02
